t,price,pos_qty_before,cash_before,decision_type,side,qty_intended,fees_bps,slip_bps,fees_est,slippage_est,costs_total_est,exp_return,executed,reason
1762425179999,103107.95,0.0,10000.0,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762425239999,103149.21,0.0,10000.0,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762425299999,103265.07,0.0,10000.0,OPEN_LONG,BUY,0.09683816609043115,2.5,1.0,2.5,1.0,3.5,0.0,1,mom_long
1762425359999,103194.87,0.09683816609043115,-3.5002499999991414,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762425419999,103173.49,0.09683816609043115,-3.5002499999991414,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762425479999,103221.58,0.09683816609043115,-3.5002499999991414,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762425539999,103280.03,0.09683816609043115,-3.5002499999991414,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762425599999,103274.56,0.09683816609043115,-3.5002499999991414,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762425659999,103225.56,0.09683816609043115,-3.5002499999991414,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762425719999,103264.33,0.09683816609043115,-3.5002499999991414,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762425779999,103280.78,0.09683816609043115,-3.5002499999991414,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762425839999,103154.82,0.09683816609043115,-3.5002499999991414,CLOSE_LONG,SELL,0.09683816609043115,2.5,1.0,2.4973308980471325,0.998932359218853,3.4962632572659853,0.0,1,mom_exit_long
1762425899999,103119.28,0.0,9982.327328664353,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762425959999,103148.92,0.0,9982.327328664353,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762426019999,103121.9,0.0,9982.327328664353,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762426079999,103076.39,0.0,9982.327328664353,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762426139999,103033.61,0.0,9982.327328664353,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762426199999,103063.13,0.0,9982.327328664353,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762426259999,103091.2,0.0,9982.327328664353,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762426319999,103156.16,0.0,9982.327328664353,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762426379999,103168.99,0.0,9982.327328664353,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762426439999,103168.97,0.0,9982.327328664353,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762426499999,103168.97,0.0,9982.327328664353,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762426559999,103190.57,0.0,9982.327328664353,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762426619999,103186.41,0.0,9982.327328664353,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762426679999,103168.93,0.0,9982.327328664353,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
1762426739999,103146.75,0.0,9982.327328664353,HOLD,NONE,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0,no_op
