t,price,qty,cash,equity
1762424039999,102903.8,0.0,10000.0,10000.0
1762424099999,102867.22,0.09717814113764506,0.0,9996.445223597184
1762424159999,102874.48,0.09717814113764506,0.0,9997.150736901844
1762424219999,102931.55,0.09717814113764506,0.0,10002.69669341657
1762424279999,103000.0,0.09717814113764506,0.0,10009.34853717744
1762424339999,103041.52,0.09717814113764506,0.0,10013.383373597477
1762424399999,103030.74,0.09717814113764506,0.0,10012.335793236012
1762424459999,103031.9,0.09717814113764506,0.0,10012.448519879732
1762424519999,103066.33,0.09717814113764506,0.0,10015.794363279101
1762424579999,103042.66,0.09717814113764506,0.0,10013.494156678373
1762424639999,102948.44,0.09717814113764506,0.0,10004.338032220385
1762424699999,102978.11,0.09717814113764506,0.0,10007.221307667938
1762424759999,103020.0,0.09717814113764506,0.0,10011.292100000193
1762424819999,103049.55,0.09717814113764506,0.0,10014.163714070812
1762424879999,103076.72,0.09717814113764506,0.0,10016.804044165521
1762424939999,103061.08,0.09717814113764506,0.0,10015.284178038128
1762424999999,103025.23,0.09717814113764506,0.0,10011.800341678343
1762425059999,103048.4,0.09717814113764506,0.0,10014.051959208502
1762425119999,103072.43,0.09717814113764506,0.0,10016.38714994004
1762425179999,103107.95,0.09717814113764506,0.0,10019.838917513249
1762425239999,103149.21,0.09717814113764506,0.0,10023.84848761659
1762425299999,103265.07,0.09717814113764506,0.0,10035.107547048798
1762425359999,103194.87,0.09717814113764506,0.0,10028.285641540933
1762425419999,103173.49,0.09717814113764506,0.0,10026.207972883412
1762425479999,103221.58,0.09717814113764506,0.0,10030.88126969072
1762425539999,103280.03,0.09717814113764506,0.0,10036.561332040215
1762425599999,103274.56,0.09717814113764506,0.0,10036.029767608192
1762425659999,103225.56,0.09717814113764506,0.0,10031.268038692448
1762425719999,103264.33,0.09717814113764506,0.0,10035.035635224354
1762425779999,103280.78,0.09717814113764506,0.0,10036.634215646069
1762425839999,103154.82,0.09717814113764506,0.0,10024.393656988372
1762425899999,103119.28,0.09717814113764506,0.0,10020.939945852338
1762425959999,103148.92,0.09717814113764506,0.0,10023.820305955658
1762426019999,103121.9,0.09717814113764506,0.0,10021.19455258212
1762426079999,103076.39,0.09717814113764506,0.0,10016.771975378946
1762426139999,103033.61,0.09717814113764506,0.0,10012.614694501077
1762426199999,103063.13,0.09717814113764506,0.0,10015.483393227461
1762426259999,103091.2,0.09717814113764506,0.0,10018.211183649193
1762426319999,103156.16,0.09717814113764506,0.0,10024.523875697496
1762426379999,103168.99,0.09717814113764506,0.0,10025.770671248292
1762426439999,103168.97,0.09717814113764506,0.0,10025.768727685469
1762426499999,103168.97,0.09717814113764506,0.0,10025.768727685469
1762426559999,103190.57,0.09717814113764506,0.0,10027.867775534043
1762426619999,103186.41,0.09717814113764506,0.0,10027.46351446691
1762426679999,103168.93,0.09717814113764506,0.0,10025.764840559823
1762426739999,103146.75,0.09717814113764506,0.0,10023.609429389391
1762426799999,103122.54,0.09717814113764506,0.0,10021.256746592448
1762426859999,103060.04,0.09717814113764506,0.0,10015.183112771345
1762426919999,103057.67,0.09717814113764506,0.0,10014.952800576848
1762426979999,102894.47,0.09717814113764506,0.0,9999.093327943185
1762427039999,102851.9,0.09717814113764506,0.0,9994.956454474956
1762427099999,102852.25,0.09717814113764506,0.0,9994.990466824354
1762427159999,102839.99,0.09717814113764506,0.0,9993.799062814007
1762427219999,102802.73,0.09717814113764506,0.0,9990.178205275217
1762427279999,102788.75,0.09717814113764506,0.0,9988.819654862113
1762427339999,102862.41,0.09717814113764506,0.0,9995.977796738312
1762427399999,102840.92,0.09717814113764506,0.0,9993.889438485265
1762427459999,102894.92,0.09717814113764506,0.0,9999.137058106697
1762427519999,102872.09,0.09717814113764506,0.0,9996.918481144525
1762427579999,102887.53,0.09717814113764506,0.0,9998.41891164369
1762427639999,102882.36,0.09717814113764506,0.0,9997.916500654008
1762427699999,102878.58,0.09717814113764506,0.0,9997.549167280507
1762427759999,102868.81,0.09717814113764506,0.0,9996.599736841594
1762427819999,102903.37,0.09717814113764506,0.0,9999.95821339931
1762427879999,102987.34,0.09717814113764506,0.0,10008.118261910638
1762427939999,102984.54,0.09717814113764506,0.0,10007.846163115451
1762427999999,103050.0,0.09717814113764506,0.0,10014.207444234324
1762428059999,103091.18,0.09717814113764506,0.0,10018.209240086371
1762428119999,103137.33,0.09717814113764506,0.0,10022.694011299875
1762428179999,103082.01,0.09717814113764506,0.0,10017.318116532138
1762428239999,103103.08,0.09717814113764506,0.0,10019.36565996591
1762428299999,103109.83,0.09717814113764506,0.0,10020.021612418588
1762428359999,103083.95,0.09717814113764506,0.0,10017.506642125945
1762428419999,103099.99,0.09717814113764506,0.0,10019.065379509795
1762428479999,103138.58,0.09717814113764506,0.0,10022.815483976296
1762428539999,103159.64,0.09717814113764506,0.0,10024.862055628655
1762428599999,103142.97,0.09717814113764506,0.0,10023.24209601589
1762428659999,103226.72,0.09717814113764506,0.0,10031.380765336167
1762428719999,103173.4,0.09717814113764506,0.0,10026.199226850707
1762428779999,103188.97,0.09717814113764506,0.0,10027.712290508221
1762428839999,103143.19,0.09717814113764506,0.0,10023.26347520694
1762428899999,103143.23,0.09717814113764506,0.0,10023.267362332586
1762428959999,103171.91,0.09717814113764506,0.0,10026.054431420414
1762429019999,103127.33,0.09717814113764506,0.0,10021.722229888497
1762429079999,103152.75,0.09717814113764506,0.0,10024.192498236216
1762429139999,103148.97,0.09717814113764506,0.0,10023.825164862716
1762429199999,103192.93,0.09717814113764506,0.0,10028.097115947126
1762429259999,103170.27,0.09717814113764506,0.0,10025.895059268949
1762429319999,103230.99,0.09717814113764506,0.0,10031.795715998825
1762429379999,103247.54,0.09717814113764506,0.0,10033.404014234653
1762429439999,103300.01,0.09717814113764506,0.0,10038.502951300145
1762429499999,103173.52,0.09717814113764506,0.0,10026.210888227646
1762429559999,103206.48,0.09717814113764506,0.0,10029.413879759542
1762429619999,103176.22,0.09717814113764506,0.0,10026.473269208716
1762429679999,103226.61,0.09717814113764506,0.0,10031.370075740642
1762429739999,103271.55,0.09717814113764506,0.0,10035.737261403368
1762429799999,103180.01,0.09717814113764506,0.0,10026.841574363629
1762429859999,103150.75,0.09717814113764506,0.0,10023.998141953942
1762429919999,103186.16,0.09717814113764506,0.0,10027.439219931624
1762429979999,103227.89,0.09717814113764506,0.0,10031.494463761299
1762429979999,103227.89,0.0,10031.494463761299,10031.494463761299
