t,price,qty,cash,equity
1,109888.74000000,0.000000000000,10000.00000000,10000.00000000
2,109888.74000000,0.000000000000,10000.00000000,10000.00000000
3,109888.74000000,0.000000000000,10000.00000000,10000.00000000
4,109889.44000000,0.000000000000,10000.00000000,10000.00000000
5,109893.31000000,0.000000000000,10000.00000000,10000.00000000
