t_open,t_close,open,high,low,close,volume,dollar_value,trade_count,start_time,end_time,duration_ms,gap_ms,target,overshoot,overshoot_pct,symbol,rule,limit,session_id,bar_index
1762007891375,1762007909578,109888.73,109888.74,109888.73,109888.74,0.25017,27490.865873600003,51,2025-11-01 14:38:11.375000+00:00,2025-11-01 14:38:29.578000+00:00,18203,,0.25,0.00017,0.00068,btcusdt,volume_qty,0.25,btcusdt_volume_qty_0_25_20251101T143810Z,0
1762007909691,1762007915346,109888.73,109888.74,109888.73,109888.74,0.25216,27709.5446087,43,2025-11-01 14:38:29.691000+00:00,2025-11-01 14:38:35.346000+00:00,5655,113.0,0.25,0.0021599999999999,0.0086399999999999,btcusdt,volume_qty,0.25,btcusdt_volume_qty_0_25_20251101T143810Z,1
1762007915346,1762007915346,109888.74,109888.74,109888.74,109888.74,0.28502,31320.488674800003,12,2025-11-01 14:38:35.346000+00:00,2025-11-01 14:38:35.346000+00:00,0,0.0,0.25,0.0350199999999999,0.1400799999999999,btcusdt,volume_qty,0.25,btcusdt_volume_qty_0_25_20251101T143810Z,2
1762007915346,1762007915351,109888.74,109889.44,109888.74,109889.44,0.25465,27983.1955694,44,2025-11-01 14:38:35.346000+00:00,2025-11-01 14:38:35.351000+00:00,5,0.0,0.25,0.0046499999999999,0.0185999999999999,btcusdt,volume_qty,0.25,btcusdt_volume_qty_0_25_20251101T143810Z,3
1762007915351,1762007915507,109889.44,109893.31,109889.44,109893.31,0.26061,28639.2108908,96,2025-11-01 14:38:35.351000+00:00,2025-11-01 14:38:35.507000+00:00,156,0.0,0.25,0.01061,0.04244,btcusdt,volume_qty,0.25,btcusdt_volume_qty_0_25_20251101T143810Z,4
